127.0.0.1 - - [15/Dec/2020:22:44:12 -0200] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:44:46 -0200] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:44:46 -0200] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:44:46 -0200] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:44:46 -0200] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:44:46 -0200] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:44:46 -0200] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:44:47 -0200] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:44:47 -0200] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:44:47 -0200] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:44:47 -0200] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:45:31 -0200] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:45:31 -0200] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:45:31 -0200] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:45:31 -0200] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:45:31 -0200] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:45:31 -0200] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:45:34 -0200] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:45:34 -0200] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:45:36 -0200] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:20 -0200] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:20 -0200] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:20 -0200] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:20 -0200] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:20 -0200] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:20 -0200] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:20 -0200] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:20 -0200] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:23 -0200] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:23 -0200] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:25 -0200] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:53 -0200] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:53 -0200] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:53 -0200] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:53 -0200] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:53 -0200] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:53 -0200] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
